,year,avg_vote,genre_1,genre_2,genre_2
733,1929,6.9,Drama,,
734,1929,5.2,Comedy,,
735,1929,5.8,Comedy,Drama,Musical
736,1928,7.2,Drama,,
737,1929,6.7,Comedy,Musical,
738,1929,6.4,Drama,,
739,1929,5.2,Action,Romance,Western
740,1929,6.1,Drama,Musical,Romance
741,1929,6.6,Drama,Mystery,
742,1929,5.8,Drama,Romance,
743,1929,6.8,Drama,Musical,
744,1929,7.2,Action,Crime,Drama
745,1929,5.1,Drama,,
746,1929,5.3,Crime,Drama,Romance
747,1929,5.8,Drama,Mystery,
748,1929,5.9,Comedy,Music,
749,1929,6.6,Comedy,Crime,Drama
750,1929,6.1,Drama,,
751,1929,5.9,Comedy,,
752,1928,5.5,Action,Adventure,Romance
753,1929,7.0,Drama,,
754,1929,7.0,Adventure,Drama,History
755,1929,6.1,Comedy,Musical,Romance
756,1929,6.9,Romance,Drama,
757,1929,7.3,Drama,Romance,
758,1929,6.7,Drama,Horror,Romance
759,1928,6.7,Horror,Mystery,Thriller
